,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ADSO  --  8TM / 2QB (21) / 2RB (41) / 2WR (50) / 1TE (13) / 2[RB/WR/TE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PASS: 4 TD, 0.04 YD, -2 INT | RUSH: 6 TD, 0.1 YD, -2 FL | REC: 6 TD, 0.1 YD, 1 PPR RB, 1 PPR WR, 1 PPR TE | DATE: 08-23-2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RUNNING BACK,,,,,,,,,,,,,WIDE RECEIVER,,,,,,,,,,,,,QUARTERBACK,,,,,,,,,,
,NAME,TM/BW,POS,$VORP,$MG,$VOLS,$RK,ECR,ADP,,,,,NAME,TM/BW,POS,$VORP,$MG,$VOLS,$RK,ECR,ADP,,,,,NAME,TM/BW,POS,$VORP,$MG,$VOLS,$RK,ECR,ADP,,
,Christian McCaffrey,SF/9,R1/1,$48,$60,$92,1.01,1.07,1.01,RB1,1,,,CeeDee Lamb,DAL/7,W1/1,$36,$53,$67,1.04,2.01,1.03,WR1,1,,,Jalen Hurts,PHI/5,Q1/1,$21,$34,$47,4.01,1.02,4.08,QB1,1
,Breece Hall,NYJ/12,R2/1,$37,$43,$64,1.02,2.07,1.04,RB2,2,,,Tyreek Hill,MIA/6,W2/1,$34,$50,$63,1.05,2.02,1.02,WR2,1,,,Josh Allen,BUF/12,Q2/1,$20,$33,$46,4.02,1.01,3.06,QB2,1
,Bijan Robinson,ATL/12,R3/1,$36,$41,$61,1.03,3.02,1.05,RB3,2,,,Amon-Ra St. Brown,DET/5,W3/1,$28,$40,$47,1.08,2.05,1.08,WR3,1,,,Lamar Jackson,BAL/14,Q3/1,$16,$27,$36,4.08,1.04,5.07,QB3,1
,Saquon Barkley,PHI/5,R4/1,$29,$30,$43,1.06,4.06,2.01,RB4,2,,,Ja'Marr Chase,CIN/12,W4/1,$28,$40,$47,2.01,2.04,1.06,WR4,1,,,Patrick Mahomes II,KC/6,Q4/1,$16,$26,$34,5.03,1.03,4.02,QB4,1
,Jonathan Taylor,IND/14,R5/1,$28,$28,$39,1.07,3.08,2.03,RB5,2,,,Justin Jefferson,MIN/6,W5/1,$27,$38,$43,2.02,2.08,1.07,WR5,2,,,Anthony Richardson,IND/14,Q5/1,$10,$17,$19,9.02,1.05,7.04,QB5,2
,Jahmyr Gibbs,DET/5,R6/1,$26,$24,$33,2.03,3.07,2.05,RB6,3,,,A.J. Brown,PHI/5,W6/1,$23,$32,$33,3.01,3.03,2.02,WR6,2,,,C.J. Stroud,HOU/14,Q6/1,$10,$16,$18,9.06,1.06,7.01,QB6,2
,Kyren Williams,LAR/6,R7/1,$25,$24,$32,2.04,6.06,2.07,RB7,3,,,Puka Nacua,LAR/6,W7/1,$23,$31,$33,3.03,4.01,2.06,WR7,2,,,Dak Prescott,DAL/7,Q7/1,$9,$15,$17,10.01,2.06,9.04,QB7,2
,Alvin Kamara,NO/12,R8/1,$24,$21,$29,2.05,8.05,6.02,RB8,3,,,Garrett Wilson,NYJ/12,W8/1,$21,$27,$27,3.08,3.04,2.04,WR8,2,,,Joe Burrow,CIN/12,Q8/1,$9,$15,$16,10.05,2.03,8.01,QB8,2
,Travis Etienne Jr.,JAC/12,R9/1,$24,$21,$28,2.06,5.03,3.02,RB9,3,,,Chris Olave,NO/12,W9/1,$17,$23,$19,4.04,5.02,3.07,WR9,3,,,Kyler Murray,ARI/11,Q9/1,$8,$14,$14,10.08,1.08,9.07,QB9,3
,Rachaad White,TB/11,R10/1,$23,$20,$27,2.07,8.02,5.02,RB10,3,,,Marvin Harrison Jr.,ARI/11,W10/1,$17,$21,$17,4.05,4.05,2.08,WR10,3,,,Jordan Love,GB/10,Q10/1,$7,$11,$9,11.07,3.01,9.05,QB10,3
,Isiah Pacheco,KC/6,R11/1,$23,$20,$26,2.08,7.01,3.04,RB11,3,,,Davante Adams,LV/10,W11/1,$17,$21,$17,4.06,4.07,3.03,WR11,3,,,Brock Purdy,SF/9,Q11/1,$7,$11,$9,12.01,3.06,12.02,QB11,3
,Derrick Henry,BAL/14,R12/1,$23,$19,$25,3.02,7.07,3.01,RB12,3,,,Drake London,ATL/12,W12/1,$16,$21,$16,4.07,5.01,4.01,WR12,3,,,Jayden Daniels,WAS/14,Q12/1,$6,$9,$6,12.05,3.05,13.08,QB12,3
,James Cook,BUF/12,R13/1,$23,$19,$25,3.04,8.08,4.06,RB13,3,,,Nico Collins,HOU/14,W13/1,$15,$19,$13,5.04,6.02,4.05,WR13,3,,,Trevor Lawrence,JAC/12,Q13/1,$5,$8,$4,12.08,4.08,16.07,QB13,3
,De'Von Achane,MIA/6,R14/1,$22,$18,$23,3.05,7.03,3.08,RB14,3,,,Mike Evans,TB/11,W14/1,$15,$18,$12,5.05,6.01,5.01,WR14,3,,,Caleb Williams,CHI/7,Q14/1,$4,$8,$4,13.02,4.02,14.04,QB14,3
,Josh Jacobs,GB/10,R15/1,$21,$16,$20,3.06,9.01,4.04,RB15,3,,,Cooper Kupp,LAR/6,W15/2,$15,$18,$12,5.06,5.08,5.05,WR15,3,,,Justin Herbert,LAC/5,Q15/1,$4,$6,$1,13.05,5.06,17.02,QB15,3
,Joe Mixon,HOU/14,R16/1,$21,$16,$20,3.07,9.06,5.06,RB16,3,,,DeVonta Smith,PHI/5,W16/2,$15,$17,$11,5.08,7.04,6.05,WR16,3,,,Jared Goff,DET/5,Q16/1,$3,$5,$0,14.01,4.04,14.08,QB16,3
,Kenneth Walker III,SEA/10,R17/1,$18,$11,$11,4.03,10.02,6.04,RB17,3,,,Michael Pittman Jr.,IND/14,W17/1,$14,$17,$9,6.02,5.05,5.03,WR17,3,,,Deshaun Watson,CLE/10,Q17/1,$3,$5,$0,14.03,8.01,20.04,QB17,3
,Aaron Jones,MIN/6,R18/1,$16,$8,$7,5.01,11.05,7.08,RB18,3,,,Deebo Samuel Sr.,SF/9,W18/1,$14,$17,$9,6.03,6.08,4.07,WR18,3,,,Tua Tagovailoa,MIA/6,Q18/1,$2,$3,$0,15.02,4.03,15.01,QB18,4
,Rhamondre Stevenson,NE/14,R19/1,$15,$6,$3,5.07,11.06,9.01,RB19,4,,,Jaylen Waddle,MIA/6,W19/2,$14,$16,$8,6.07,5.04,6.03,WR19,3,,,Kirk Cousins,ATL/12,Q19/1,$1,$2,$0,15.06,5.07,18.05,QB19,4
,Zamir White,LV/10,R20/1,$14,$4,$0,6.04,12.03,9.02,RB20,4,,,DK Metcalf,SEA/10,W20/1,$14,$15,$7,6.08,7.05,6.01,WR20,3,,,Baker Mayfield,TB/11,Q20/1,$1,$2,$0,15.07,8.07,20.06,QB20,4
,David Montgomery,DET/5,R21/2,$14,$4,$0,6.05,11.08,8.05,RB21,4,,,Brandon Aiyuk,SF/9,W21/2,$13,$15,$7,7.02,6.03,5.04,WR21,3,,,Aaron Rodgers,NYJ/12,Q21/1,$0,$0,$0,16.02,7.08,18.01,QB21,4
,James Conner,ARI/11,R22/1,$14,$4,$0,6.06,11.02,7.06,RB22,4,,,Stefon Diggs,HOU/14,W22/2,$13,$15,$6,7.03,8.06,5.08,WR22,3,,,Matthew Stafford,LAR/6,Q22/1,$0,$0,$0,16.07,6.05,19.05,QB22,4
,Najee Harris,PIT/9,R23/1,$13,$3,$0,7.01,12.01,9.06,RB23,4,,,DJ Moore,CHI/7,W23/1,$12,$14,$4,7.04,7.02,6.06,WR23,3,,,Geno Smith,SEA/10,Q23/1,$0,$0,$0,17.08,8.04,24.01,QB23,4
,D'Andre Swift,CHI/7,R24/1,$12,$0,$0,7.07,12.02,8.03,RB24,4,,,Malik Nabers,NYG/11,W24/1,$12,$13,$3,7.05,7.06,7.03,WR24,3,,,Will Levis,TEN/5,Q24/1,$0,$0,$0,19.07,9.02,24.02,QB24,4
,Javonte Williams,DEN/14,R25/1,$12,$0,$0,7.08,13.01,11.04,RB25,4,,,Amari Cooper,CLE/10,W25/1,$12,$12,$2,7.06,8.03,7.07,WR25,3,,,Daniel Jones,NYG/11,Q25/1,$0,$0,$0,19.08,10.07,33.04,QB25,4
,Jaylen Warren,PIT/9,R26/2,$11,$0,$0,8.01,13.06,11.03,RB26,4,,,Zay Flowers,BAL/14,W26/1,$11,$12,$2,8.02,9.04,8.04,WR26,3,,,Derek Carr,NO/12,Q26/1,$0,$0,$0,20.03,11.03,24.06,QB26,5
,Raheem Mostert,MIA/6,R27/2,$11,$0,$0,8.03,12.08,10.02,RB27,4,,,George Pickens,PIT/9,W27/1,$11,$11,$0,8.04,9.08,8.02,WR27,3,,,Sam Darnold,MIN/6,Q27/1,$0,$0,$0,20.05,14.01,29.04,QB27,5
,Tony Pollard,TEN/5,R28/1,$11,$0,$0,8.07,13.04,10.07,RB28,4,,,Chris Godwin,TB/11,W28/2,$11,$11,$0,8.05,10.06,10.05,WR28,3,,,Bo Nix,DEN/14,Q28/1,$0,$0,$0,22.01,15.01,26.02,QB28,5
,Devin Singletary,NYG/11,R29/1,$10,$0,$0,9.07,14.04,12.05,RB29,4,,,Tee Higgins,CIN/12,W29/2,$11,$11,$0,8.08,9.05,8.07,WR29,3,,,Bryce Young,CAR/11,Q29/1,$0,$0,$0,22.02,12.05,28.03,QB29,5
,Brian Robinson Jr.,WAS/14,R30/1,$10,$0,$0,9.08,13.08,12.04,RB30,4,,,Christian Kirk,JAC/12,W30/1,$10,$10,$0,9.03,10.01,9.08,WR30,3,,,Russell Wilson,PIT/9,Q30/1,$0,$0,$0,23.03,15.05,28.02,QB30,5
,Austin Ekeler,WAS/14,R31/2,$9,$0,$0,10.03,15.08,11.05,RB31,4,,,Rashee Rice,KC/6,W31/1,$10,$10,$0,9.04,10.03,10.06,WR31,3,,,,,,,,,,,,,
,Tyjae Spears,TEN/5,R32/2,$9,$0,$0,10.04,14.03,12.07,RB32,4,,,Tank Dell,HOU/14,W32/3,$10,$9,$0,9.05,10.04,8.08,WR32,3,,,TIGHT END,,,,,,,,,,
,Zack Moss,CIN/12,R33/1,$8,$0,$0,11.01,16.03,12.01,RB33,4,,,Calvin Ridley,TEN/5,W33/1,$9,$9,$0,10.02,11.07,10.03,WR33,4,,,NAME,TM/BW,POS,$VORP,$MG,$VOLS,$RK,ECR,ADP,,
,Chase Brown,CIN/12,R34/2,$8,$0,$0,11.02,16.02,15.03,RB34,4,,,Terry McLaurin,WAS/14,W34/1,$9,$8,$0,10.07,9.07,10.04,WR34,4,,,Travis Kelce,KC/6,T1/1,$16,$19,$26,5.02,6.07,3.05,TE1,1
,Ezekiel Elliott,DAL/7,R35/1,$6,$0,$0,12.03,17.06,14.03,RB35,4,,,Keenan Allen,CHI/7,W35/2,$7,$6,$0,11.03,10.08,10.01,WR35,4,,,Sam LaPorta,DET/5,T2/1,$14,$16,$21,6.01,6.04,4.03,TE2,1
,Gus Edwards,LAC/5,R36/1,$5,$0,$0,12.06,17.04,14.07,RB36,5,,,Diontae Johnson,CAR/11,W36/1,$7,$5,$0,11.06,11.04,11.07,WR36,4,,,Mark Andrews,BAL/14,T3/1,$11,$11,$11,8.06,10.05,6.07,TE3,2
,Nick Chubb,CLE/10,R37/1,$4,$0,$0,13.04,17.07,11.08,RB37,5,,,Jayden Reed,GB/10,W37/1,$6,$3,$0,12.04,12.06,11.01,WR37,4,,,Trey McBride,ARI/11,T4/1,$10,$10,$11,9.01,9.03,6.08,TE4,2
,Jonathon Brooks,CAR/11,R38/1,$3,$0,$0,13.07,16.05,11.06,RB38,5,,,DeAndre Hopkins,TEN/5,W38/2,$4,$0,$0,13.03,13.07,13.02,WR38,4,,,Dalton Kincaid,BUF/12,T5/1,$9,$7,$6,10.06,11.01,7.02,TE5,2
,Jerome Ford,CLE/10,R39/2,$3,$0,$0,14.02,17.01,15.04,RB39,5,,,Jaxon Smith-Njigba,SEA/10,W39/2,$3,$0,$0,13.06,13.02,13.05,WR39,4,,,George Kittle,SF/9,T6/1,$7,$5,$2,11.04,13.03,7.05,TE6,2
,J.K. Dobbins,LAC/5,R40/2,$0,$0,$0,15.08,20.04,17.03,RB40,5,,,Jordan Addison,MIN/6,W40/2,$3,$0,$0,13.08,15.02,14.02,WR40,4,,,Evan Engram,JAC/12,T7/1,$7,$5,$2,11.05,12.04,9.03,TE7,2
,Antonio Gibson,NE/14,R41/2,$0,$0,$0,16.05,19.04,21.04,RB41,5,,,Courtland Sutton,DEN/14,W41/1,$3,$0,$0,14.04,14.06,15.05,WR41,4,,,Kyle Pitts,ATL/12,T8/1,$7,$3,$0,11.08,12.07,8.06,TE8,3
,Zach Charbonnet,SEA/10,R42/2,$0,$0,$0,17.02,18.03,18.02,RB42,5,,,Rome Odunze,CHI/7,W42/3,$3,$0,$0,14.05,14.07,13.03,WR42,4,,,Taysom Hill,NO/12,T9/1,$6,$3,$0,12.02,22.08,25.03,TE9,3
,Ty Chandler,MIN/6,R43/2,$0,$0,$0,17.05,20.03,20.03,RB43,5,,,Ladd McConkey,LAC/5,W43/1,$2,$0,$0,14.06,14.08,12.08,WR43,4,,,Jake Ferguson,DAL/7,T10/1,$5,$1,$0,12.07,14.02,11.02,TE10,3
,Chuba Hubbard,CAR/11,R44/2,$0,$0,$0,17.06,18.07,19.01,RB44,5,,,Christian Watson,GB/10,W44/2,$2,$0,$0,14.07,15.04,13.01,WR44,4,,,David Njoku,CLE/10,T11/1,$5,$0,$0,13.01,14.05,10.08,TE11,3
,Tyler Allgeier,ATL/12,R45/2,$0,$0,$0,17.07,20.05,20.02,RB45,5,,,Xavier Worthy,KC/6,W45/2,$2,$0,$0,14.08,13.05,12.03,WR45,4,,,Brock Bowers,LV/10,T12/1,$0,$0,$0,16.01,15.06,12.06,TE12,4
,Rico Dowdle,DAL/7,R46/2,$0,$0,$0,18.03,19.03,19.04,RB46,5,,,Brian Thomas Jr.,JAC/12,W46/2,$2,$0,$0,15.01,16.01,16.01,WR46,4,,,Dallas Goedert,PHI/5,T13/1,$0,$0,$0,16.04,15.07,14.01,TE13,4
,Blake Corum,LAR/6,R47/2,$0,$0,$0,18.08,19.05,15.08,RB47,5,,,Jerry Jeudy,CLE/10,W47/2,$2,$0,$0,15.03,19.08,18.06,WR47,4,,,Dalton Schultz,HOU/14,T14/1,$0,$0,$0,18.07,16.08,16.05,TE14,4
,Jaleel McLaughlin,DEN/14,R48/2,$0,$0,$0,19.03,20.01,21.05,RB48,5,,,Hollywood Brown,KC/6,W48/3,$2,$0,$0,15.04,15.03,13.04,WR48,4,,,Pat Freiermuth,PIT/9,T15/1,$0,$0,$0,19.01,16.06,17.04,TE15,5
,Trey Benson,ARI/11,R49/2,$0,$0,$0,19.04,19.07,16.02,RB49,5,,,Tyler Lockett,SEA/10,W49/3,$1,$0,$0,15.05,16.04,17.07,WR49,5,,,T.J. Hockenson,MIN/6,T16/1,$0,$0,$0,20.02,18.01,15.07,TE16,5
,Khalil Herbert,CHI/7,R50/2,$0,$0,$0,19.05,22.02,25.06,RB50,5,,,Jakobi Meyers,LV/10,W50/2,$0,$0,$0,16.03,16.07,18.08,WR50,5,,,Tyler Conklin,NYJ/12,T17/1,$0,$0,$0,20.07,21.02,23.03,TE17,5
,MarShawn Lloyd,GB/10,R51/2,$0,$0,$0,21.06,22.04,22.03,RB51,6,,,Joshua Palmer,LAC/5,W51/2,$0,$0,$0,16.06,17.05,20.01,WR51,5,,,Cole Kmet,CHI/7,T18/1,$0,$0,$0,21.04,19.06,17.06,TE18,6
,Alexander Mattison,LV/10,R52/2,$0,$0,$0,22.07,26.02,32.04,RB52,6,,,Curtis Samuel,BUF/12,W52/1,$0,$0,$0,16.08,17.08,17.08,WR52,5,,,Hunter Henry,NE/14,T19/1,$0,$0,$0,21.05,20.02,25.07,TE19,6
,Ray Davis,BUF/12,R53/2,$0,$0,$0,23.01,22.03,27.07,RB53,6,,,Jameson Williams,DET/5,W53/2,$0,$0,$0,17.01,17.02,15.06,WR53,5,,,Cade Otton,TB/11,T20/1,$0,$0,$0,21.08,21.08,30.08,TE20,6
,Clyde Edwards-Helaire,KC/6,R54/2,$0,$0,$0,23.02,26.08,27.08,RB54,6,,,Adam Thielen,CAR/11,W54/2,$0,$0,$0,17.03,20.08,20.07,WR54,5,,,Luke Musgrave,GB/10,T21/1,$0,$0,$0,22.04,19.02,21.08,TE21,6
,Kendre Miller,NO/12,R55/2,$0,$0,$0,23.04,23.02,24.04,RB55,6,,,Khalil Shakir,BUF/12,W55/2,$0,$0,$0,17.04,18.05,17.01,WR55,5,,,Chigoziem Okonkwo,TEN/5,T22/1,$0,$0,$0,22.06,23.07,27.05,TE22,6
