,AVG,,,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Player,Team,PO,PASS ATT,PASS ATT,PASS ATT,PASS ATT,PASS ATT,PASS CMP,PASS CMP,PASS CMP,PASS CMP,PASS CMP,PASS INCMP,PASS INCMP,PASS INCMP,PASS INCMP,PASS INCMP,PASS YDS,PASS YDS,PASS YDS,PASS YDS,PASS YDS,PASS FDS,PASS FDS,PASS FDS,PASS FDS,PASS FDS,PASS TDS,PASS TDS,PASS TDS,PASS TDS,PASS TDS,PASS INT,PASS INT,PASS INT,PASS INT,PASS INT,RUSH ATT,RUSH ATT,RUSH ATT,RUSH ATT,RUSH ATT,RUSH YDS,RUSH YDS,RUSH YDS,RUSH YDS,RUSH YDS,RUSH FDS,RUSH FDS,RUSH FDS,RUSH FDS,RUSH FDS,RUSH TDS,RUSH TDS,RUSH TDS,RUSH TDS,RUSH TDS,REC REC,REC REC,REC REC,REC REC,REC REC,REC YDS,REC YDS,REC YDS,REC YDS,REC YDS,REC FDS,REC FDS,REC FDS,REC FDS,REC FDS,REC TDS,REC TDS,REC TDS,REC TDS,REC TDS,MISC FL,MISC FL,MISC FL,MISC FL,MISC FL,FGA,FGA,FGA,FGA,FGA,FGMa,FGMa,FGMa,FGMa,FGMa,FGMi,FGMi,FGMi,FGMi,FGMi,XPTA,XPTA,XPTA,XPTA,XPTA,XPTMa,XPTMa,XPTMa,XPTMa,XPTMa,XPTMi,XPTMi,XPTMi,XPTMi,XPTMi,SACK,SACK,SACK,SACK,SACK,INT,INT,INT,INT,INT,FR,FR,FR,FR,FR,FF,FF,FF,FF,FF,TD,TD,TD,TD,TD,SAFETY,SAFETY,SAFETY,SAFETY,SAFETY,PA,PA,PA,PA,PA,YDS_AGN,YDS_AGN,YDS_AGN,YDS_AGN,YDS_AGN,PASSING ATT,PASSING CMP,PASSING INCMP,PASSING YDS,PASSING FDS,PASSING TDS,PASSING INT,RUSHING ATT,RUSHING YDS,RUSHING FDS,RUSHING TDS,RECEIVING REC,RECEIVING YDS,RECEIVING FDS,RECEIVING TDS,MISC FL,FGA,FGMa,FGMi,XPTA,XPTMa,XPTMi,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,ID,,,All Pos,,,QB,RB,WR,TE,K,DST
1,Jalen Hurts,PHI,QB,520.2,#N/A,#N/A,#N/A,520.2,339.7,#N/A,#N/A,#N/A,339.7,180.5,#N/A,#N/A,#N/A,180.5,3810.4,#N/A,#N/A,#N/A,3810.4,184.4,#N/A,#N/A,#N/A,184.4,24.4,#N/A,#N/A,#N/A,24.4,12.1,#N/A,#N/A,#N/A,12.1,145.3,#N/A,#N/A,#N/A,145.3,624.2,#N/A,#N/A,#N/A,624.2,31.7,#N/A,#N/A,#N/A,31.7,11.3,#N/A,#N/A,#N/A,11.3,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,3.8,#N/A,#N/A,#N/A,3.8,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,152.4,0.0,97.6,-24.2,0.0,62.4,0.0,67.8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-7.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000001000,348.44,1,350.68,Christian McCaffrey,RB,0.00,350.68,0.00,0.00,0.00,0.00
2,Josh Allen,BUF,QB,564.7,#N/A,#N/A,#N/A,564.7,368.0,#N/A,#N/A,#N/A,368.0,196.7,#N/A,#N/A,#N/A,196.7,4060.0,#N/A,#N/A,#N/A,4060.0,196.5,#N/A,#N/A,#N/A,196.5,27.8,#N/A,#N/A,#N/A,27.8,14.0,#N/A,#N/A,#N/A,14.0,108.2,#N/A,#N/A,#N/A,108.2,556.7,#N/A,#N/A,#N/A,556.7,28.3,#N/A,#N/A,#N/A,28.3,8.9,#N/A,#N/A,#N/A,8.9,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,4.0,#N/A,#N/A,#N/A,4.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,162.4,0.0,111.2,-28.0,0.0,55.7,0.0,53.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-8.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000999,346.67,2,348.44,Jalen Hurts,QB,348.44,0.00,0.00,0.00,0.00,0.00
3,Lamar Jackson,BAL,QB,463.6,#N/A,#N/A,#N/A,463.6,303.7,#N/A,#N/A,#N/A,303.7,159.9,#N/A,#N/A,#N/A,159.9,3567.1,#N/A,#N/A,#N/A,3567.1,172.6,#N/A,#N/A,#N/A,172.6,25.0,#N/A,#N/A,#N/A,25.0,10.6,#N/A,#N/A,#N/A,10.6,146.1,#N/A,#N/A,#N/A,146.1,836.1,#N/A,#N/A,#N/A,836.1,42.5,#N/A,#N/A,#N/A,42.5,5.4,#N/A,#N/A,#N/A,5.4,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,4.4,#N/A,#N/A,#N/A,4.4,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,142.7,0.0,100.0,-21.2,0.0,83.6,0.0,32.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-8.8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000998,328.69,3,346.67,Josh Allen,QB,346.67,0.00,0.00,0.00,0.00,0.00
4,Patrick Mahomes II,KC,QB,584.8,#N/A,#N/A,#N/A,584.8,392.2,#N/A,#N/A,#N/A,392.2,192.6,#N/A,#N/A,#N/A,192.6,4371.2,#N/A,#N/A,#N/A,4371.2,211.6,#N/A,#N/A,#N/A,211.6,32.7,#N/A,#N/A,#N/A,32.7,11.2,#N/A,#N/A,#N/A,11.2,72.0,#N/A,#N/A,#N/A,72.0,376.4,#N/A,#N/A,#N/A,376.4,19.1,#N/A,#N/A,#N/A,19.1,1.8,#N/A,#N/A,#N/A,1.8,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,3.1,#N/A,#N/A,#N/A,3.1,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,174.8,0.0,130.8,-22.4,0.0,37.6,0.0,10.8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-6.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000997,325.49,4,332.52,CeeDee Lamb,WR,0.00,0.00,332.52,0.00,0.00,0.00
5,Anthony Richardson,IND,QB,511.7,#N/A,#N/A,#N/A,511.7,325.6,#N/A,#N/A,#N/A,325.6,186.1,#N/A,#N/A,#N/A,186.1,3503.9,#N/A,#N/A,#N/A,3503.9,169.6,#N/A,#N/A,#N/A,169.6,20.0,#N/A,#N/A,#N/A,20.0,11.4,#N/A,#N/A,#N/A,11.4,127.6,#N/A,#N/A,#N/A,127.6,646.0,#N/A,#N/A,#N/A,646.0,32.8,#N/A,#N/A,#N/A,32.8,7.9,#N/A,#N/A,#N/A,7.9,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,5.0,#N/A,#N/A,#N/A,5.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,140.2,0.0,80.0,-22.8,0.0,64.6,0.0,47.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-10.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000996,299.36,5,328.69,Lamar Jackson,QB,328.69,0.00,0.00,0.00,0.00,0.00
6,Dak Prescott,DAL,QB,573.9,#N/A,#N/A,#N/A,573.9,386.3,#N/A,#N/A,#N/A,386.3,187.6,#N/A,#N/A,#N/A,187.6,4190.3,#N/A,#N/A,#N/A,4190.3,202.8,#N/A,#N/A,#N/A,202.8,30.8,#N/A,#N/A,#N/A,30.8,12.0,#N/A,#N/A,#N/A,12.0,51.9,#N/A,#N/A,#N/A,51.9,221.3,#N/A,#N/A,#N/A,221.3,11.2,#N/A,#N/A,#N/A,11.2,2.0,#N/A,#N/A,#N/A,2.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,2.8,#N/A,#N/A,#N/A,2.8,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,167.6,0.0,123.2,-24.0,0.0,22.1,0.0,12.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-5.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000995,295.34,6,325.49,Patrick Mahomes II,QB,325.49,0.00,0.00,0.00,0.00,0.00
7,C.J. Stroud,HOU,QB,556.8,#N/A,#N/A,#N/A,556.8,362.5,#N/A,#N/A,#N/A,362.5,194.3,#N/A,#N/A,#N/A,194.3,4336.3,#N/A,#N/A,#N/A,4336.3,209.9,#N/A,#N/A,#N/A,209.9,29.4,#N/A,#N/A,#N/A,29.4,10.1,#N/A,#N/A,#N/A,10.1,43.8,#N/A,#N/A,#N/A,43.8,183.8,#N/A,#N/A,#N/A,183.8,9.3,#N/A,#N/A,#N/A,9.3,2.4,#N/A,#N/A,#N/A,2.4,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,3.6,#N/A,#N/A,#N/A,3.6,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,173.5,0.0,117.6,-20.2,0.0,18.4,0.0,14.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-7.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000994,296.43,7,325.47,Tyreek Hill,WR,0.00,0.00,325.47,0.00,0.00,0.00
8,Joe Burrow,CIN,QB,580.8,#N/A,#N/A,#N/A,580.8,389.2,#N/A,#N/A,#N/A,389.2,191.6,#N/A,#N/A,#N/A,191.6,4242.2,#N/A,#N/A,#N/A,4242.2,205.3,#N/A,#N/A,#N/A,205.3,30.2,#N/A,#N/A,#N/A,30.2,11.5,#N/A,#N/A,#N/A,11.5,56.7,#N/A,#N/A,#N/A,56.7,191.4,#N/A,#N/A,#N/A,191.4,9.7,#N/A,#N/A,#N/A,9.7,2.1,#N/A,#N/A,#N/A,2.1,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,3.1,#N/A,#N/A,#N/A,3.1,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,169.7,0.0,120.8,-23.0,0.0,19.1,0.0,12.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-6.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000993,293.03,8,301.25,Breece Hall,RB,0.00,301.25,0.00,0.00,0.00,0.00
9,Kyler Murray,ARI,QB,530.4,#N/A,#N/A,#N/A,530.4,353.5,#N/A,#N/A,#N/A,353.5,176.9,#N/A,#N/A,#N/A,176.9,3706.0,#N/A,#N/A,#N/A,3706.0,179.4,#N/A,#N/A,#N/A,179.4,21.8,#N/A,#N/A,#N/A,21.8,12.1,#N/A,#N/A,#N/A,12.1,96.1,#N/A,#N/A,#N/A,96.1,530.7,#N/A,#N/A,#N/A,530.7,27.0,#N/A,#N/A,#N/A,27.0,5.2,#N/A,#N/A,#N/A,5.2,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,2.6,#N/A,#N/A,#N/A,2.6,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,148.2,0.0,87.2,-24.2,0.0,53.1,0.0,31.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-5.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000992,290.31,9,299.36,Anthony Richardson,QB,299.36,0.00,0.00,0.00,0.00,0.00
